NamUs_ID,Min_Age,Max_Age,Mean_Age,Image_Count
100266,61.2,61.2,61.2,1
10029,11.3,49.1,21.7,6
101687,48.0,48.0,48.0,1
102743,59.7,59.7,59.7,1
102746,72.8,72.8,72.8,1
104152,46.0,46.0,46.0,1
104761,80.8,80.8,80.8,1
108650,34.0,34.0,34.0,1
108735,79.4,79.4,79.4,1
109007,42.6,42.6,42.6,1
109771,57.5,57.5,57.5,1
110680,60.6,60.6,60.6,1
112313,82.6,82.6,82.6,1
112316,80.5,80.5,80.5,1
113104,71.2,71.2,71.2,1
115114,46.4,46.4,46.4,1
116171,4.7,69.7,37.2,2
116322,49.5,49.5,49.5,1
120212,63.8,63.8,63.8,1
121234,78.5,78.5,78.5,1
12375,6.8,42.8,24.799999999999997,2
124667,60.1,60.1,60.1,1
12492,58.8,58.8,58.8,1
127820,55.3,55.3,55.3,1
134358,68.5,68.5,68.5,1
134410,24.1,57.7,40.900000000000006,2
135084,69.9,69.9,69.9,1
135226,47.6,47.6,47.6,1
135314,65.0,65.0,65.0,1
135496,29.2,29.2,29.2,1
135730,38.0,38.0,38.0,1
135892,41.7,41.7,41.7,1
136201,43.6,43.6,43.6,1
136353,77.1,77.1,77.1,1
136463,53.9,53.9,53.9,1
136509,41.1,41.1,41.1,1
136748,44.1,44.1,44.1,1
137374,53.2,53.2,53.2,1
138609,40.8,40.8,40.8,1
139304,39.9,39.9,39.9,1
139499,50.0,50.0,50.0,1
139578,33.5,33.5,33.5,1
14060,48.4,48.4,48.4,1
15025,53.8,53.8,53.8,1
15895,17.2,17.2,17.2,1
17200,37.0,37.0,37.0,1
184940,39.5,39.5,39.5,1
18851,11.5,62.5,38.82,5
21001,43.8,50.1,46.95,2
23335,36.4,36.4,36.4,1
2336,38.4,38.4,38.4,1
2337,46.8,46.8,46.8,1
2355,33.8,33.8,33.8,1
23660,50.4,50.4,50.4,1
24085,21.4,46.9,36.38,5
24937,34.2,34.2,34.2,1
26090,62.7,62.7,62.7,1
2745,60.4,60.4,60.4,1
2748,67.5,67.5,67.5,1
2752,42.4,42.4,42.4,1
2753,42.0,42.0,42.0,1
2757,66.2,66.2,66.2,1
2760,68.2,68.2,68.2,1
2762,47.2,47.2,47.2,1
2764,71.8,71.8,71.8,1
2769,55.0,55.0,55.0,1
2771,61.3,61.3,61.3,1
2773,66.6,66.6,66.6,1
2774,64.4,64.4,64.4,1
27754,53.2,53.2,53.2,1
2776,48.0,48.0,48.0,1
2779,63.9,63.9,63.9,1
30862,55.0,55.0,55.0,1
30886,35.1,35.1,35.1,1
31621,55.2,55.2,55.2,1
34926,48.5,48.5,48.5,1
34942,47.1,47.1,47.1,1
35055,46.1,46.1,46.1,1
35083,59.6,59.6,59.6,1
35103,44.6,44.6,44.6,1
35547,60.0,60.2,60.1,2
36723,37.3,52.8,45.05,2
40626,31.1,31.1,31.1,1
4154,40.0,40.0,40.0,1
4413,66.0,66.0,66.0,1
4416,69.2,69.2,69.2,1
4418,63.2,63.2,63.2,1
4490,66.0,66.0,66.0,1
459076,35.6,35.6,35.6,1
4598,58.5,58.5,58.5,1
4599,65.6,65.6,65.6,1
4600,52.5,52.5,52.5,1
4654,40.2,40.2,40.2,1
4656,57.1,57.1,57.1,1
4774,42.1,42.1,42.1,1
4783,42.1,42.1,42.1,1
4794,46.1,46.1,46.1,1
4798,24.3,24.3,24.3,1
480287,2.0,2.0,2.0,1
483431,66.8,66.8,66.8,1
4915,49.8,49.8,49.8,1
5011,41.5,41.5,41.5,1
50583,15.7,42.9,27.96666666666667,3
5127,70.9,70.9,70.9,1
51903,35.2,35.2,35.2,1
5208,55.4,55.4,55.4,1
5211,57.1,57.1,57.1,1
52935,43.4,45.5,44.45,2
529554,87.3,87.3,87.3,1
529878,31.4,31.4,31.4,1
530121,41.0,41.0,41.0,1
530451,36.7,36.7,36.7,1
530991,30.2,30.2,30.2,1
531222,10.5,10.5,10.5,1
531357,33.0,33.0,33.0,1
531432,49.8,49.8,49.8,1
53160,49.5,49.5,49.5,1
531837,44.1,44.1,44.1,1
533737,36.0,36.0,36.0,1
534061,52.0,52.0,52.0,1
536551,35.1,35.1,35.1,1
537232,48.2,48.2,48.2,1
537358,51.7,51.7,51.7,1
537616,43.0,43.0,43.0,1
53785,55.1,55.1,55.1,1
53786,81.3,81.3,81.3,1
53787,79.3,79.3,79.3,1
537874,50.5,50.5,50.5,1
53951,41.4,53.9,47.65,2
54578,91.7,91.7,91.7,1
54579,66.7,66.7,66.7,1
54580,48.4,48.4,48.4,1
54639,49.2,49.2,49.2,1
55875,55.7,55.7,55.7,1
5711,38.6,38.6,38.6,1
59566,83.5,83.5,83.5,1
59569,82.9,82.9,82.9,1
59573,66.1,66.1,66.1,1
59574,49.9,49.9,49.9,1
61157,36.3,36.3,36.3,1
61431,51.3,53.1,52.2,2
64272,44.4,44.4,44.4,1
67978,37.9,37.9,37.9,1
68237,49.5,49.5,49.5,1
69015,35.1,35.1,35.1,1
71029,50.8,50.8,50.8,1
71031,75.9,75.9,75.9,1
71038,54.3,54.3,54.3,1
71439,64.5,64.5,64.5,1
7280,68.2,68.6,68.4,2
7281,39.6,77.5,55.06666666666666,3
7282,32.4,32.4,32.4,1
7351,29.3,29.3,29.3,1
7359,45.1,45.1,45.1,1
7380,50.6,50.6,50.6,1
7446,59.1,59.1,59.1,1
75904,86.0,86.0,86.0,1
75908,63.1,63.1,63.1,1
75913,61.7,61.7,61.7,1
75917,46.4,46.4,46.4,1
75919,73.8,73.8,73.8,1
75925,74.7,74.7,74.7,1
78156,38.7,38.7,38.7,1
80136,65.7,65.7,65.7,1
80138,58.5,58.5,58.5,1
80141,43.7,43.7,43.7,1
80142,56.0,56.0,56.0,1
80144,42.7,42.7,42.7,1
80149,62.2,62.2,62.2,1
80158,60.2,60.2,60.2,1
80257,52.9,52.9,52.9,1
81444,66.2,66.2,66.2,1
81445,56.8,56.8,56.8,1
81667,55.0,55.0,55.0,1
82178,42.8,42.8,42.8,1
83317,50.8,64.9,57.85,2
83747,67.1,67.1,67.1,1
83849,60.4,60.4,60.4,1
84188,45.5,45.5,45.5,1
84486,27.4,27.4,27.4,1
853,43.1,43.1,43.1,1
85426,33.2,33.2,33.2,1
85470,60.8,60.8,60.8,1
85928,49.7,49.7,49.7,1
86494,66.9,66.9,66.9,1
86495,55.5,55.5,55.5,1
86938,39.0,39.0,39.0,1
87275,47.5,47.5,47.5,1
87547,68.1,68.1,68.1,1
87659,44.1,46.7,45.400000000000006,2
88025,67.7,67.7,67.7,1
88661,33.7,33.7,33.7,1
88775,86.3,86.3,86.3,1
89829,63.6,63.6,63.6,1
9,29.9,29.9,29.9,1
90382,59.0,59.0,59.0,1
90851,80.3,80.3,80.3,1
91901,80.4,80.4,80.4,1
93107,45.0,45.0,45.0,1
96387,34.1,39.1,36.6,2
97228,39.4,39.4,39.4,1
97918,11.2,11.2,11.2,1
98018,38.9,52.4,45.65,2
98283,74.5,74.5,74.5,1
99067,88.4,88.4,88.4,1
